configuration,feature,mean_abs_shap,rank,abbreviation,family
leaves_low,forest_frac_slope_2000_2025,0.0034114327281713486,1,FORs,Land cover
leaves_low,mndwi_mean_2000_2025,0.001317581394687295,2,MNDWIm,Hydrology
leaves_low,mndwi_slope_2000_2025,0.0012649580603465438,3,MNDWIs,Hydrology
leaves_low,built_frac_slope_2000_2025,0.0011939066462218761,4,BLTs,Land cover
leaves_low,forest_frac_mean_2000_2025,0.0011256677098572254,5,FORm,Land cover
leaves_low,cropland_frac_slope_2000_2025,0.0008508681785315275,6,CRPs,Land cover
leaves_low,cropland_frac_mean_2000_2025,0.0007273448281921446,7,CRPm,Land cover
leaves_low,slope_mean,0.0006989070679992437,8,SLOPE,Terrain
leaves_low,terrain_northness_mean,0.00062619085656479,9,NORTH,Terrain
leaves_low,ssrd_wm2_slope_2000_2025,0.0005108997575007379,10,SRADs,Climate
leaves_low,grass_frac_slope_2000_2025,0.0004856084706261754,11,GRSs,Land cover
leaves_low,pdsi_slope_2000_2025,0.00046885930350981653,12,PDSIs,Hydrology
leaves_low,elevation_mean,0.0003618611954152584,13,ELEV,Terrain
leaves_low,hydro_hand_m,0.0003244358522351831,14,HAND,Hydrology
leaves_low,terrain_tpi_5km,0.0003223320236429572,15,TPI5,Terrain
leaves_low,soil_water_top_slope_2000_2025,0.0002887193113565445,16,SWTs,Hydrology
leaves_low,pop_log_density_2000,0.00028536157333292067,17,POP,Human activity
leaves_low,ntl_viirs_slope_2014_2025,0.00026162463473156095,18,NTLs,Human activity
leaves_low,built_frac_mean_2000_2025,0.0002470968756824732,19,BLTm,Land cover
leaves_low,mkde3k,0.0002441407705191523,20,MKDE3,Human activity
leaves_low,prcp_mm_slope_2000_2025,0.00024127826327458024,21,PRCPs,Climate
leaves_low,soil_water_rootzone_slope_2000_2025,0.00023114510986488312,22,SWRs,Hydrology
leaves_low,terrain_eastness_mean,0.00022538322082255036,23,EAST,Terrain
leaves_low,ntl_viirs_mean_2014_2025,0.000220467263716273,24,NTLm,Human activity
leaves_low,prcp_mm_mean_2000_2025,0.00021870603086426854,25,PRCPm,Climate
leaves_low,road_dist_km,0.0002103890001308173,26,RDIST,Human activity
leaves_low,aet_mm_slope_2000_2025,0.00020606364705599844,27,AETs,Climate
leaves_low,pdsi_mean_2000_2025,0.00020068083540536463,28,PDSIm,Hydrology
leaves_low,hydro_twi_proxy,0.0001718019339023158,29,TWI,Hydrology
leaves_low,aet_mm_mean_2000_2025,0.00016884088108781725,30,AETm,Climate
leaves_low,mdist_km,0.00016569661966059357,31,MDIST,Human activity
leaves_low,hydro_log_upstream_area,0.00016396158025600016,32,UPA,Hydrology
leaves_low,def_mm_slope_2000_2025,0.0001637349632801488,33,CWDs,Climate
leaves_low,vpd_kpa_slope_2000_2025,0.0001594282512087375,34,VPDs,Climate
leaves_low,terrain_tpi_1km,0.0001550230517750606,35,TPI1,Terrain
leaves_low,runoff_mm_mean_2000_2025,0.0001424740912625566,36,RUNm,Hydrology
leaves_low,pet_mm_slope_2000_2025,0.00014212034875527024,37,PETs,Climate
