pair_number,feature_x,feature_y,x,y,predicted_recovery_trend,observed_support_count,interaction_rank,mean_abs_shap_interaction,background_rows,grid_size
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.005440726164195664,-0.005118111065091264,0.007275620475411415,2,3,0.0002420278615318,1200,41
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.005061366391407597,-0.005118111065091264,0.007267375010997057,2,3,0.0002420278615318,1200,41
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.00468200661861953,-0.005118111065091264,0.008649155497550964,4,3,0.0002420278615318,1200,41
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0043026468458314615,-0.005118111065091264,0.00918043963611126,6,3,0.0002420278615318,1200,41
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.003923287073043394,-0.005118111065091264,0.009331765584647655,7,3,0.0002420278615318,1200,41
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0035439273002553263,-0.005118111065091264,0.009979268535971642,5,3,0.0002420278615318,1200,41
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.003164567527467259,-0.005118111065091264,0.010495503433048725,4,3,0.0002420278615318,1200,41
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.002785207754679192,-0.005118111065091264,0.012271975167095661,5,3,0.0002420278615318,1200,41
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.002405847981891124,-0.005118111065091264,0.012545415200293064,6,3,0.0002420278615318,1200,41
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.002026488209103057,-0.005118111065091264,0.013251746073365211,13,3,0.0002420278615318,1200,41
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0016471284363149888,-0.005118111065091264,0.01397716160863638,12,3,0.0002420278615318,1200,41
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0012677686635269216,-0.005118111065091264,0.015566499903798103,7,3,0.0002420278615318,1200,41
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0008884088907388545,-0.005118111065091264,0.016619304195046425,5,3,0.0002420278615318,1200,41
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0005090491179507873,-0.005118111065091264,0.017434850335121155,28,3,0.0002420278615318,1200,41
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.00012968934516272013,-0.005118111065091264,0.01869351789355278,139,3,0.0002420278615318,1200,41
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.0002496704276253488,-0.005118111065091264,0.021129567176103592,20,3,0.0002420278615318,1200,41
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.0006290302004134159,-0.005118111065091264,0.02141610160470009,14,3,0.0002420278615318,1200,41
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.001008389973201483,-0.005118111065091264,0.02197788655757904,8,3,0.0002420278615318,1200,41
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.0013877497459895503,-0.005118111065091264,0.022186269983649254,13,3,0.0002420278615318,1200,41
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.0017671095187776174,-0.005118111065091264,0.02224428579211235,2,3,0.0002420278615318,1200,41
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.0021464692915656863,-0.005118111065091264,0.022377755492925644,4,3,0.0002420278615318,1200,41
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.0025258290643537535,-0.005118111065091264,0.022547738626599312,4,3,0.0002420278615318,1200,41
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.0029051888371418207,-0.005118111065091264,0.02285967394709587,2,3,0.0002420278615318,1200,41
