stage,year,method,component_a,component_b,correlation,n_records
raw,2016,pearson,nbr_mean,bsi_mean,-0.9788740380352967,38281
raw,2016,pearson,ndmi_mean,bsi_mean,-0.9823280328553231,38281
raw,2016,spearman,kndvi_mean,nbr_mean,0.9388763262443158,38281
raw,2016,spearman,kndvi_mean,ndmi_mean,0.9041258263760045,38281
raw,2016,spearman,kndvi_mean,bsi_mean,-0.9543513934671596,38281
raw,2016,spearman,nbr_mean,ndmi_mean,0.9887089406727848,38281
raw,2016,spearman,nbr_mean,bsi_mean,-0.9900151051839431,38281
raw,2016,spearman,ndmi_mean,bsi_mean,-0.9842412934697655,38281
raw,2017,pearson,kndvi_mean,nbr_mean,0.9483146383451336,38281
raw,2017,pearson,kndvi_mean,ndmi_mean,0.9134725344241515,38281
raw,2017,pearson,kndvi_mean,bsi_mean,-0.9550177341522396,38281
raw,2017,pearson,nbr_mean,ndmi_mean,0.9831456970163129,38281
raw,2017,pearson,nbr_mean,bsi_mean,-0.9810924903800143,38281
raw,2017,pearson,ndmi_mean,bsi_mean,-0.9884821077192764,38281
raw,2017,spearman,kndvi_mean,nbr_mean,0.9513540819301088,38281
raw,2017,spearman,kndvi_mean,ndmi_mean,0.9242185368459634,38281
raw,2017,spearman,kndvi_mean,bsi_mean,-0.962441593785341,38281
raw,2017,spearman,nbr_mean,ndmi_mean,0.9908332605361709,38281
raw,2017,spearman,nbr_mean,bsi_mean,-0.9920408678547532,38281
raw,2017,spearman,ndmi_mean,bsi_mean,-0.9889207149652384,38281
raw,2018,pearson,kndvi_mean,nbr_mean,0.9596542120012661,38281
raw,2018,pearson,kndvi_mean,ndmi_mean,0.9273231516852787,38281
raw,2018,pearson,kndvi_mean,bsi_mean,-0.9615143397361683,38281
raw,2018,pearson,nbr_mean,ndmi_mean,0.9818473022068632,38281
raw,2018,pearson,nbr_mean,bsi_mean,-0.9809408986443132,38281
raw,2018,pearson,ndmi_mean,bsi_mean,-0.9896154839254736,38281
raw,2018,spearman,kndvi_mean,nbr_mean,0.9630009415440456,38281
raw,2018,spearman,kndvi_mean,ndmi_mean,0.9365445525373339,38281
raw,2018,spearman,kndvi_mean,bsi_mean,-0.9688660850702343,38281
raw,2018,spearman,nbr_mean,ndmi_mean,0.9895813738563131,38281
raw,2018,spearman,nbr_mean,bsi_mean,-0.9924774706602516,38281
raw,2018,spearman,ndmi_mean,bsi_mean,-0.9903156223152777,38281
raw,2019,pearson,kndvi_mean,nbr_mean,0.950791476116912,38281
raw,2019,pearson,kndvi_mean,ndmi_mean,0.9130488603826233,38281
raw,2019,pearson,kndvi_mean,bsi_mean,-0.9546024581462756,38281
raw,2019,pearson,nbr_mean,ndmi_mean,0.9815716489944365,38281
raw,2019,pearson,nbr_mean,bsi_mean,-0.9810830431986556,38281
raw,2019,pearson,ndmi_mean,bsi_mean,-0.9885413593604405,38281
raw,2019,spearman,kndvi_mean,nbr_mean,0.9525289497320593,38281
raw,2019,spearman,kndvi_mean,ndmi_mean,0.9254095080248632,38281
raw,2019,spearman,kndvi_mean,bsi_mean,-0.9638625996620408,38281
raw,2019,spearman,nbr_mean,ndmi_mean,0.9897847334364517,38281
raw,2019,spearman,nbr_mean,bsi_mean,-0.9915260958024781,38281
raw,2019,spearman,ndmi_mean,bsi_mean,-0.9885038951393549,38281
raw,2020,pearson,kndvi_mean,nbr_mean,0.9525792162858215,38281
raw,2020,pearson,kndvi_mean,ndmi_mean,0.9120189550576753,38281
raw,2020,pearson,kndvi_mean,bsi_mean,-0.9533319974779952,38281
raw,2020,pearson,nbr_mean,ndmi_mean,0.979939057205751,38281
raw,2020,pearson,nbr_mean,bsi_mean,-0.9820549217964984,38281
raw,2020,pearson,ndmi_mean,bsi_mean,-0.9892773482879983,38281
raw,2020,spearman,kndvi_mean,nbr_mean,0.9580688861165516,38281
raw,2020,spearman,kndvi_mean,ndmi_mean,0.9274714346047418,38281
raw,2020,spearman,kndvi_mean,bsi_mean,-0.9637998697714218,38281
raw,2020,spearman,nbr_mean,ndmi_mean,0.9879851160243154,38281
raw,2020,spearman,nbr_mean,bsi_mean,-0.9925266288912147,38281
raw,2020,spearman,ndmi_mean,bsi_mean,-0.9896285466937645,38281
raw,2021,pearson,kndvi_mean,nbr_mean,0.9547228166226384,38281
raw,2021,pearson,kndvi_mean,ndmi_mean,0.9136259850710564,38281
raw,2021,pearson,kndvi_mean,bsi_mean,-0.94908257034052,38281
raw,2021,pearson,nbr_mean,ndmi_mean,0.9820910846889304,38281
raw,2021,pearson,nbr_mean,bsi_mean,-0.9844767206279859,38281
raw,2021,pearson,ndmi_mean,bsi_mean,-0.9924424344578316,38281
raw,2021,spearman,kndvi_mean,nbr_mean,0.9539937418108434,38281
raw,2021,spearman,kndvi_mean,ndmi_mean,0.926165828405319,38281
raw,2021,spearman,kndvi_mean,bsi_mean,-0.9598752762203673,38281
raw,2021,spearman,nbr_mean,ndmi_mean,0.990864208176759,38281
raw,2021,spearman,nbr_mean,bsi_mean,-0.9935542276331879,38281
raw,2021,spearman,ndmi_mean,bsi_mean,-0.9919538663494357,38281
raw,2022,pearson,kndvi_mean,nbr_mean,0.9596387255852381,38281
raw,2022,pearson,kndvi_mean,ndmi_mean,0.922639313616156,38281
raw,2022,pearson,kndvi_mean,bsi_mean,-0.95302141751818,38281
raw,2022,pearson,nbr_mean,ndmi_mean,0.9819685901959256,38281
raw,2022,pearson,nbr_mean,bsi_mean,-0.9835282201286764,38281
raw,2022,pearson,ndmi_mean,bsi_mean,-0.9932757302560831,38281
raw,2022,spearman,kndvi_mean,nbr_mean,0.966480685667681,38281
raw,2022,spearman,kndvi_mean,ndmi_mean,0.9426346276904655,38281
raw,2022,spearman,kndvi_mean,bsi_mean,-0.9698130767613314,38281
raw,2022,spearman,nbr_mean,ndmi_mean,0.99042868770044,38281
raw,2022,spearman,nbr_mean,bsi_mean,-0.9940231868499124,38281
raw,2022,spearman,ndmi_mean,bsi_mean,-0.993112065572655,38281
raw,2023,pearson,kndvi_mean,nbr_mean,0.9553207168495703,38281
raw,2023,pearson,kndvi_mean,ndmi_mean,0.9172476647207191,38281
raw,2023,pearson,kndvi_mean,bsi_mean,-0.9500375124184939,38281
raw,2023,pearson,nbr_mean,ndmi_mean,0.9819398824250184,38281
raw,2023,pearson,nbr_mean,bsi_mean,-0.983867737088218,38281
raw,2023,pearson,ndmi_mean,bsi_mean,-0.9928012165527265,38281
raw,2023,spearman,kndvi_mean,nbr_mean,0.9597152454131787,38281
raw,2023,spearman,kndvi_mean,ndmi_mean,0.9288857445625482,38281
raw,2023,spearman,kndvi_mean,bsi_mean,-0.9611735137395219,38281
raw,2023,spearman,nbr_mean,ndmi_mean,0.9899645698560203,38281
raw,2023,spearman,nbr_mean,bsi_mean,-0.9946985101540925,38281
raw,2023,spearman,ndmi_mean,bsi_mean,-0.99268748537838,38281
raw,2024,pearson,kndvi_mean,nbr_mean,0.9494995409769182,38281
raw,2024,pearson,kndvi_mean,ndmi_mean,0.9026391491287087,38281
raw,2024,pearson,kndvi_mean,bsi_mean,-0.9462529230523494,38281
raw,2024,pearson,nbr_mean,ndmi_mean,0.9804154830652697,38281
raw,2024,pearson,nbr_mean,bsi_mean,-0.9838487365203249,38281
raw,2024,pearson,ndmi_mean,bsi_mean,-0.9893214373828234,38281
raw,2024,spearman,kndvi_mean,nbr_mean,0.9557948897775947,38281
raw,2024,spearman,kndvi_mean,ndmi_mean,0.9162105176618529,38281
raw,2024,spearman,kndvi_mean,bsi_mean,-0.9571276559856003,38281
raw,2024,spearman,nbr_mean,ndmi_mean,0.9857514248873175,38281
raw,2024,spearman,nbr_mean,bsi_mean,-0.992741632110771,38281
raw,2024,spearman,ndmi_mean,bsi_mean,-0.9888650303674246,38281
raw,2025,pearson,kndvi_mean,nbr_mean,0.9625383223534638,38281
raw,2025,pearson,kndvi_mean,ndmi_mean,0.9269735216001054,38281
raw,2025,pearson,kndvi_mean,bsi_mean,-0.9555834026399032,38281
raw,2025,pearson,nbr_mean,ndmi_mean,0.9825782635197265,38281
raw,2025,pearson,nbr_mean,bsi_mean,-0.9847821638864135,38281
raw,2025,pearson,ndmi_mean,bsi_mean,-0.9934381166380355,38281
