stage,year,component,n,mean,median,q25,q75
scaled_ECI_components,2007,bsi_mean,38281,0.5020924146993921,0.5342098375856499,0.30834530331275245,0.6996987780799353
scaled_ECI_components,2008,kndvi_mean,38281,0.5292555316784521,0.5525830771063652,0.3689862839306597,0.7092084313617625
scaled_ECI_components,2008,nbr_mean,38281,0.5666993244308807,0.601060519934208,0.40406515643388335,0.7483871725525598
scaled_ECI_components,2008,ndmi_mean,38281,0.49035683782988043,0.505244423465776,0.3283668569560435,0.6599530189438214
scaled_ECI_components,2008,bsi_mean,38281,0.4841609415312488,0.5022402846406112,0.3147503556513327,0.6572063528538954
scaled_ECI_components,2009,kndvi_mean,38281,0.46196396726785577,0.47593201941208374,0.28332880731659627,0.6559298434626434
scaled_ECI_components,2009,nbr_mean,38281,0.5278030893395693,0.5714578894456066,0.3197372265074606,0.7510117253551315
scaled_ECI_components,2009,ndmi_mean,38281,0.4437590511244969,0.46844290754990453,0.23236316345428773,0.6539477494348664
scaled_ECI_components,2009,bsi_mean,38281,0.4383789011416547,0.4608097462725621,0.2318041127499667,0.643681178894719
scaled_ECI_components,2010,kndvi_mean,38281,0.5251321765660023,0.5457443694824493,0.3612127439631236,0.7088086579971309
scaled_ECI_components,2010,nbr_mean,38281,0.5784132565200614,0.6169937835419489,0.41950813965995737,0.7633212155058962
scaled_ECI_components,2010,ndmi_mean,38281,0.4902337156610302,0.5136643790462109,0.328014521206849,0.6626159157299584
scaled_ECI_components,2010,bsi_mean,38281,0.48542789754403964,0.5076617537699601,0.3183118148547659,0.6621682096985725
scaled_ECI_components,2011,kndvi_mean,38281,0.5128605087724506,0.5171531690887343,0.3468983958761306,0.6989982036685575
scaled_ECI_components,2011,nbr_mean,38281,0.5916023095171037,0.6149414414146694,0.4229028167228896,0.7806933929156029
scaled_ECI_components,2011,ndmi_mean,38281,0.5106833473242286,0.5190165548821113,0.338799596143597,0.6896910956542058
scaled_ECI_components,2011,bsi_mean,38281,0.5080679939514181,0.5137299225237577,0.3328407128923123,0.6904753083332438
scaled_ECI_components,2012,kndvi_mean,38281,0.6620326254622702,0.700424515956029,0.5052630315630998,0.8503644666514799
scaled_ECI_components,2012,nbr_mean,38281,0.6649342641478488,0.7084291915308816,0.5182074690472973,0.8433754673177815
scaled_ECI_components,2012,ndmi_mean,38281,0.5979423158993309,0.6278955532681724,0.44687117456904923,0.7700620816707338
scaled_ECI_components,2012,bsi_mean,38281,0.6057105613007551,0.6358557688002062,0.4400861845373627,0.7889916974092486
scaled_ECI_components,2013,kndvi_mean,38281,0.6826239687521719,0.7254380751914937,0.5330691418561587,0.869790850490628
scaled_ECI_components,2013,nbr_mean,38281,0.6675215894837242,0.7126646474991273,0.5147365319585788,0.854033416114623
scaled_ECI_components,2013,ndmi_mean,38281,0.6238794059640134,0.6561320439886564,0.463841328551135,0.8059237649942103
scaled_ECI_components,2013,bsi_mean,38281,0.6155807858991247,0.6475585351531696,0.44077432695815266,0.8093950266886704
scaled_ECI_components,2014,kndvi_mean,38281,0.6435978654994019,0.6784488937964306,0.4876941075145374,0.8325578120751799
scaled_ECI_components,2014,nbr_mean,38281,0.6600542202267444,0.7066862651175227,0.49515873279490197,0.857788862016124
scaled_ECI_components,2014,ndmi_mean,38281,0.625466931384957,0.6582326025268667,0.44707077379414734,0.824243223418884
scaled_ECI_components,2014,bsi_mean,38281,0.6101647931474411,0.6402095516273076,0.42211515496643315,0.8145223724886632
scaled_ECI_components,2015,kndvi_mean,38281,0.6930151991702326,0.7290395534950517,0.5523408306195234,0.8703679168523694
scaled_ECI_components,2015,nbr_mean,38281,0.6634289758618145,0.7010324837879057,0.5152581716954417,0.8406836555162713
scaled_ECI_components,2015,ndmi_mean,38281,0.6143984752322662,0.640981712757145,0.45843723447298146,0.7907937637536465
scaled_ECI_components,2015,bsi_mean,38281,0.612395204255213,0.638538560207029,0.44495290357096706,0.7971958460168673
scaled_ECI_components,2016,kndvi_mean,38281,0.6741071220000568,0.7198858426189404,0.5271057564719074,0.8618526033109458
scaled_ECI_components,2016,nbr_mean,38281,0.6221969971245679,0.6614978958292073,0.46783285409228076,0.8073829699153944
scaled_ECI_components,2016,ndmi_mean,38281,0.567244680193235,0.5927061693413281,0.40338537807301195,0.7504747726132034
scaled_ECI_components,2016,bsi_mean,38281,0.5716874140585665,0.5995541061259796,0.39908659488080256,0.7626441618076605
