replicate,ok,n,unique_blocks,iterations
936,True,38153,151,39
937,True,37426,161,42
938,True,38671,156,36
939,True,41396,158,45
940,True,36022,146,35
941,True,39602,142,43
942,True,38109,148,44
943,True,37826,152,40
944,True,36414,154,38
945,True,36131,155,40
946,True,36226,150,35
947,True,42394,153,43
948,True,37757,156,37
949,True,38806,152,43
950,True,41291,156,40
951,True,40140,147,45
952,True,39638,143,42
953,True,38413,150,40
954,True,38829,163,45
955,True,37551,147,37
956,True,40025,152,43
957,True,35743,146,41
958,True,35899,152,33
959,True,36301,151,41
960,True,36126,152,39
961,True,36080,149,38
962,True,38921,152,32
963,True,39278,145,38
964,True,38033,150,38
965,True,40804,153,39
966,True,33978,156,43
967,True,39334,149,43
968,True,38816,153,40
969,True,41130,149,40
970,True,39536,155,44
971,True,40393,148,43
972,True,40608,142,42
973,True,40890,154,40
974,True,38132,146,38
975,True,38469,152,39
976,True,39180,153,41
977,True,34568,146,37
978,True,35159,146,40
979,True,37712,158,39
980,True,37890,147,39
981,True,36376,151,41
982,True,43712,151,38
983,True,37486,157,42
984,True,36890,152,41
985,True,39643,152,35
986,True,39549,150,35
987,True,40512,149,35
988,True,34384,140,39
989,True,38984,152,38
990,True,39908,146,39
991,True,40484,148,41
992,True,35971,149,48
993,True,38950,146,41
994,True,37276,152,37
995,True,37747,147,37
996,True,36316,151,43
997,True,36782,151,36
998,True,36346,151,42
999,True,40092,149,39
